name,description,user_per_month,cost_per_user_per_month,category,sub_category
SAP CRM,"The SAP CRM applications have been initially an integrated on-premise customer relationship management (CRM) software manufactured by SAP SE which targeted business software requirements for marketing, sales and service of midsize and large organizations in all industries and sectors. The first SAP CRM release 2.0 has been made generally available in November 2000. The current release 7.0 is being updated with quarterly enhancement packs (EHPs).

SAP CRM stands for customer relationship management. SAP CRM module is one of the best tool provided by SAP and supports customer related process end to end. The main concept of SAP CRM is managing the and maintaining relationship with customers by firms. It deals with acquisition of customers and to its final termination.
SAP CRM enable a firm to obtain a 360 degree over there customers and various functions such as accounts receivable (A/R), invoicing, fulfilment, delivery, decision making and various functions.
SAP CRM is integrated with other SAP Modules such as SCM (Supply chain management), PLM (Product life cycle management), SRM (Supplier relationship management) and with various modules.

SAP solutions go beyond traditional CRM software. In addition to core CRM functionality, they provide in-memory technology and Big Data insights to help you drive contextual, personalised customer engagement in real time – across any channel or line of business.",,,CRM,
Hubspot,"While the factors of CRM pricing can be complex, the good news is that the barriers to adopting CRM are lower than they ever have been before. A big part of the reason we made HubSpot CRM 100% free was so that people wouldn’t have to “take the plunge” on a long-term agreement with per-license fees, just in order to find out if you need a CRM. Keep your whole team using what they’re used to, and move a couple of reps.

At HubSpot, the future of CRM is something we think about a lot. Over the years, we’ve seen and heard from our customers, many of whom face the same challenges with their CRM systems:

Most CRM systems are complicated, and using them properly requires a lot of manual work on the sales team (who usually don’t see equal value in return).
Most CRM systems are empty databases that don’t have any insight into what customers are up to on your website, on social media, and in the many different places places and ways that customers interact with your company today.
With these realities in mind, in 2014 HubSpot launched HubSpot CRM. Designed to work seamlessly with the HubSpot marketing product, we went a step further to make it 100% free for anyone to try and use. No user limits, no storage limits, no time limits.

CRM systems like HubSpot CRM solve the many challenges presented by growth. CRMs effectively organize contact, company, and sales opportunity information, as well as every interaction that takes place through the multitude of customer communication channels, including your website, email, phone calls, social media, and other channels. It’s more critical than ever for marketing and sales teams to function as a cohesive unit, and CRM systems are the perfect solution to help scaling organizations achieve that goal.",,,CRM,
Salesforce,"Cloud-based CRM systems such as Salesforce (Learn more: What is Salesforce?) mean every user has the same information, all the time. Your sales teams out on the road can check data, update it instantly after a meeting, or work from anywhere. The same information is available to anyone who needs it, from the sales team to the customer service representatives.
CRM can be quick and easy to implement. A cloud-based system doesn’t need special installation, and there’s no hardware to set up, keeping IT costs low and removing the headache of version control and update schedules.

Generally, cloud-based CRM systems are priced on the number of users who access the system and the kinds of features you need. This can be very cost-effective in terms of capital outlay, and is also extremely flexible — enabling you to scale up and add more people as your business grows. Salesforce is flexible in terms of functionality, too — you’re not paying for any features that are not useful to you.",,,CRM,
Zoho,"Zoho People is a smart, user-friendly HR software application, which belongs to a complete Zoho suite of business solutions for small businesses. This popular HR management software offers a full suite of business applications and tools for SMBs. Likewise, it is flexible and user-friendly that it can be immediately deployed out-of-the-box.
What’s more, this online HRIS is designed to easily automate a company’s entire gamut of HR processes. This will help ensure that your employees’ potentials are maximized. Moreover, it is suitable for businesses looking for an HR platform that can be deployed quickly without requiring any additional customization.

Zoho Books is an online accounting solution for managing the financial aspects of any business. It can efficiently handle invoices, bills, banking, inventory, and even perform mobile accounting. This intuitive accounting software is designed to help small business owners to organize their finances better.
The app is user-friendly and allows businesses to easily create and send professionally-designed financial forms online. And because it makes these processes convenient and quick, you can easily stay on top of your finances. Additionally, you can readily generate mission-critical accounting reports to support key decision-making requirements.

Zoho Inventory is an inventory management software that’s popular among fast-growing start-up online stores and SMBs. It helps businesses gain efficiency in their inventory system through smart process automation. And with an agile system at its disposal, any business can remain on top of its inventories and make smarter decisions.
eçommerce companies of any size can use this inventory management system, which has built-in popular shipping services and cloud retailers. Likewise, this solution provides end-to-end tracking capabilities, which helps businesses keep track of their deliveries from start to the end. It also offers mobile tracking for iOS and Android gadgets.
Along with these great features, Zoho Inventory also comes with very flexible and affordable pricing schemes. Finally, you can even try it first without any cost when you sign up for a free trial.

An award-winning web-based platform, Zoho CRM, is one of the most popular CRM applications worldwide. Used by millions of users across the world, this platform boosts business growth by building great customer relationships. With an easy-to-use dashboard, this solution is known for its robust lead, sales pipeline, and contact management.
Zoho CRM offers a host of efficiencies in your CRM-related activities. For instance, it can automate everyday tasks and help convert site visitors to become leads and prospects. What’s more, the platform allows efficient management of customer accounts and enables precise revenue forecasting.

Zoho Sites is an easy-to-use website builder that allows users to build high-quality websites in a matter of minutes. This powerful solution is so simple that it can be used without any prior coding experience or IT skills.
At its core is a smart drag-and-drop function that makes website building a breeze. This website builder software also uses common site elements and smart navigation patterns to attract site visitors. Likewise, Zoho Sites-built websites are mobile-optimized to ensure a seamless user experience no matter what device is used.

Zoho Projects is designed to provide users the best project management experience. Project teams will appreciate the efficiency this solution brings since it facilitates project completion within schedule and budget. It helps simplify the entire project management process through robust automation and customization.
This project management software also enables project managers to be on top of all project-related activities using tools for efficient monitoring. Overall, Zoho Projects is packed with an extensive range of productivity tools to support project success.

Zoho Desk is a popular support desk software that helps businesses deliver top quality customer support to their clients. It is packed with robust tools that help boost agent productivity. The solution likewise offers analytics features that empower managers to easily determine operational areas for improvement.
Aside from helping make intelligent decisions, Zoho Desk also provides businesses with an extensive range of support channels and choices for delivering quality and timely customer support. With all these functionalities, users can easily build stronger business-client relationships, which inevitably translates to better profits.

Zoho Social is a smart social media management software designed to help businesses harness the power of social networks. By enabling companies to connect with the right audience, this platform can boost business growth via a stronger online presence.
Aside from being able to monitor their social media marketing revenues, businesses can use Zoho Social for numerous tasks. For instance, it can be used to manage numerous social networks. Likewise, it can schedule unlimited postings and monitor keywords.
It offers robust social media publishing tools that help businesses deliver engaging content. Moreover, Zoho Social can automate the publishing of posts, whether instantly or per schedule, for various social networks

Zoho SalesIQ is a top-tier live chat support and website monitoring solution. This platform works to analyze customer behavior and uses the generated data for enhancing marketing and sales campaigns. It also allows businesses to quickly respond to customer inquiries, which drives lead conversions.
Companies of any size can use this live chat software to engage their customers. By doing so, they can generate valuable BI to identify new leads and enhance their operational performance. Zoho SalesIQ is also capable of displaying various kinds of data, including customer location, visiting frequency, and site behavior.

Zoho Expense is among the most widely-used online expense reporting software in the market today. It is designed to streamline most financial transactions to hasten revenue generation. This solution does so by automating expense reporting, simplifying approvals, and enabling quick reimbursements.
This solution helps businesses automate a wide array of expense management tasks. For instance, it can automatically convert receipts into expenses. In turn, these expenses are instantly incorporated into a business database for reporting and analytics purposes.

Zoho Recruit is a leading recruitment management platform and applicant tracking system created for start-ups and SMBs. It is a multi-awarded solution, mainly due to its user-friendly dashboard and a great range of customizable functionalities.
This cloud-based solution is packed with robust HR management tools to streamline your hiring activities as well as back-office apps. It can help you to easily post job openings, secure potential candidates, evaluate CVs, and conduct interviews. Zoho Recruit is also mobile-friendly to allow your HR staff to continue their work even when on the go.",,,"CRM, Accounts, Inventory, Website builder, Human Resource, Project Management, Support desk, Social media management, Business Intelligence, Sales, Expense management",
SAP SCM,"SAP Supply Chain Management is one of the key modules in SAP ERP and controls Production Planning, business forecasting and demand planning. It helps the organization to manage their supply chain process in a dynamic environment. SAP SCM is a complete software to cover key processes such as supply chain networking, supply chain planning and coordination, and supply chain execution.

SAP Supply Chain Management is one of the key modules in SAP ERP and controls Production Planning, business forecasting and demand planning.

The key features of SAP SCM are −

It helps the organization to manage their supply chain process in a dynamic environment.

SAP SCM process helps suppliers, customers, manufacturers, business partners and retailers connect with each other to manage supply chain process effectively and efficiently.

It helps organizations to accelerate and optimize end-to-end procure-to-pay process.

SCM products from SAP allows an organization to integrate their processes and enforce contract compliance for supply-side and supplier-side requirements throughout using supply chain processes in distributed environment.

SAP SCM is a complete software to cover the key processes- Supply Chain networking, supply chain planning and coordination, and supply chain execution.

It includes different planning applications related to Advanced Planning and Optimization APO, and for the integration with other SAP execution applications.

The primary applications are SAP General Areas, SAP Supply Network Collaboration SNC, SAP Extended Warehouse Management EWM, Advanced Planning and Optimization (APO), Forecasting and Replenishment FRE and SAP Transportation Management TM.

In the image shown below, you can see SAP Supply Chain Management and its integration with other R/3 modules to manage supply chain process.",,,Supply chain management,
E2open,"E2open is an online supply chain management system designed to
provide more responsive and demand-driven supply chain. E2open’s
features include supply chain monitoring, supply chain analytics,
supply chain planning, order processing management, inventory
management, warehouse management, transportation management,
sourcing and procurement, supplier management and client
collaboration.
With E2open, one can integrate the existing data without losing any
data. E2open’s supply chain monitoring enables advanced shipment
noti cation management for customizable noti cations and intransit –
status updates. Supply chain analytics helps in analysis forecast
accurately, management of data integration and analysis of data,
inventory analysis, transportation analysis and warehouse analysis.
E2open’s supply chain planning enables demand forecasting, demand
planning, material requirements planning, supply chain simulation and
supply network scheduling. Supply chain planning is forward looking
process of coordinating assests to optimize the delivery of goods,
services and information from supplier to customer, balancing supply
and demands supply chain simulation enables an organizations to
analyze and experiment with its existing supply chain process in a
virtual setting, reducing the time and cost requirements associated
with physical testing.
E2open’s order processing enables sales order processing, billing and
returns management. It enables supply chain management process by
which activities associated with returns, reverse logistics, gate keeping
and avoidance are managed within the rm and across key member of
the supply chain. E2open’s inventory management enables
collaborative inventory and inventory optimization. E2open’s
transportation management enables document management and
shipping compliance management. E2open’s sourcing & procurement
enables an organization to analyze the cost and budget planning and
also supply market assessment.",,,SCM,
Logility,"Logility is a supply chain management software that provides you with
advanced analytics and optimized planning to enable you to gain a
competitive advantage. Logility present digital supply chain that
leverages smart and intelligent solutions to help you to proactively
respond to what’s happening in the market.
Logility also provides you with a collaborative scenario analytics and
advanced analytics to help you to solve the toughest retail and supply
chain planning challenges. The key features provided by Logility
include optimization of demand, inventory optimization, integrates
business planning, supply optimization, management of master data,
optimization of the retail, and transportation management. The
demand optimization feature provides you with comprehensive
overview of market demand to enable you to accurately raise demand
forecast.
The demand optimization feature also enables you to share realistic
demand plans with your supply chain partners to drive coordinated
activities. The inventory management feature provides an excellent
platform for automatically evaluating multiple inventory strategies,
comparing their outcomes, and revealing your optimal direction. The
inventory optimization feature works both tactically and strategically
to produce smarter decisions on policies of inventory and setting of
targets across your distribution and manufacturing network.
The supply optimization feature enables you to optimize production of
material and distribution with market demand. The modules o ered in
supply optimization provides support to simultaneous sourcing, multi-
tiered distribution, and multi-sourcing capabilities. The supply
optimization feature also provides you with an excellent platform for
satisfying market demand more pro tably, segmenting supplier
analysis to gain visibility, and optimizing loads and employing the
lowest cost, e cient freight, and transportation strategies.",,,"SCM, Retail",
Oracle SCM,"Oracle’s Supply Chain Management transforms the user’s business,
with end-to-end supply chain visibility from developing products to
ful lling orders, through planning and managing inventory, sourcing,
manufacturing, and delivery.
Oracle’s SCM products include supply chain planning cloud, order
management cloud and manufacturing cloud. Supply Chain Planning
Cloud proactively devises revenue growth and cost reduction
strategies, and consistently execute them with enterprise-wide
alignment. Supply Chain Planning Cloud lets the users use visual
analytics and intelligent recommendations to help even inexperienced
users plan e ectively.
Supply Chain Planning Cloud enables the users to watch for deviations
from the user’s plan and changes in the user’s supply chain, analyze
alternatives, and re-plan in real time. Supply Chain Planning Cloud
prioritizes actions based on business impact and immediately execute
proposed actions. Supply Chain Planning Cloud also lets the users plan
demand and supply together at both aggregate and detailed levels,
leveraging a modern, con gurable, and mobile-ready user experience.
Oracle Supply Chain Planning Cloud gives the users direct control over
the user’s user experience, streamlining tasks and uncovering hidden
issues and opportunities. Oracle’s Supply Chain Management also
o ers an Order Management Cloud which orchestrates the order to
cash process and proactively resolve exceptions and also lets the users
manage orders from all the user’s channels to get a single view of the
user’s customer.
Oracle’s Supply Chain Management also provides a Manufacturing
Cloud which streamlines the user’s manufacturing processes through
visualization, back- ushed transactions, and social collaboration, while
controlling costs. Oracle’s Supply Chain Management also o ers an
Oracle Planning Central Cloud which is a modern and easy-to-use
supply chain planning solution that balances supply and demand, and
monitors the user’s supply chain for success.",,,SCM,
Epicor SCM,"Epicor SCM is a supply chain management software that provides an
excellent platform for driving supply chain e ciency for greater
pro tability. Epicor SCM provides solutions designed around the
unique operational requirements of each industry.
The solutions are available on premises or in the cloud and enables
customers to focus on core growth activities and manage complexity.
Epicor SCM facilitates integration of mission-critical processes along
with centralised solutions that empower your supply chain with
greater control, data visibility, and insights. The critical features
provided by Epicor SCM include management of purchase,
management of demand, management of inventory, shipping and
receiving, management of warehouse, management of advanced
material, and management of supplier relationship.
The demand management feature provides you with an excellent
platform for e ciently managing short and long term customer
demand contracts. The demand features goes forward and enables
you to convert demand into sales orders to allow you to forecast to
make better ful lment decisions. The inventory management feature
enables you to minimize costs and risks while conforming to the
standards set in an industry.
The inventory management feature also facilitates automation,
digitisation, and simpli cation of processes for a greater pro tability at
any scale. The warehouse management feature provides you with an
excellent platform for linking you warehouse with manufacturing
operations and order processing to optimise your shipping and
receiving processes. The advanced material management feature
enables you to track materials with real-time control and visibility. The
supplier relationship management feature provides you with an
excellent platform for improving supplier collaboration by using tools
relevant for the procurement staff
and buyers. The purchase
management feature enables you to ensure compliance, accuracy, and
security in your supplier relationships.",,,SCM,
Infor SCM,"Infor SCM is a supply management software that combines advanced
supply chain planning, nance capabilities, and execution with the GT
Nexus Commerce Network to enable companies achieve the control
and velocity required to compete in the current market.
The unique combination between Nexus commerce network and Infor
SCM enables you to deliver faster actionable insights across your
entire supply chain. Infor SCM also provides an excellent platform for
solving relevant problems and challenges such as unexpected
disruptions by o ering real-time insights and greater visibility across
the entire supply chain.
The key features o ered by Infor SCM include supply chain visibility,
planning of the supply chain, management of warehouse,
collaboration with suppliers, supply chain nance, management of
transportation, and operations planning. The supply chain visibility
feature provides you with an excellent platform for uncovering the
blind spots to respond better to both potential supply disruption and
demand signals. Through the supply chain visibility, you are able to
reduce the need for costly inventory bu ers, minimize risks, and
improve the velocity of the supply network.
The supplier collaboration feature enables your buyers to collaborate
and share with multiple tiers of suppliers on forecasts, commitments,
and plans aimed at improving your responsiveness to dynamic
demand. The management of transportation feature provides you
with an excellent platform for tracking, analysing, and controlling the
global freight spend. With the transportation management feature,
you also have an ideal platform for monitoring goods in transit and
streamline freight contract bid management and events. The supply
chain nance feature provides you with payment protection, early
payment, and pre and post exporting nancing.",,,SCM,
